predicted_eigen,actual_eigen,predicted_matmul,actual_matmul
16.569698,17.762363,6.345680,6.052885
16.445251,14.173078,6.345680,5.785028
14.005033,11.445055,6.071442,5.785028
11.324905,10.824863,6.071442,5.785028
10.691271,10.585852,6.071442,5.873626
10.450190,8.420330,6.162474,5.873626
8.433372,7.081044,6.162474,6.767857
7.348551,6.028159,7.062752,6.767857
6.490729,5.692307,7.062752,6.767857
6.192177,5.478022,7.062752,8.154533
5.990778,5.667583,8.394728,8.154533
6.169416,6.627748,8.394728,9.633928
6.987957,10.449863,9.776684,9.633928
10.314154,14.642858,9.776684,11.241072
14.410265,16.235577,11.341290,11.241072
15.594425,16.690935,11.341290,12.603023
15.876546,14.976649,12.743859,12.603023
14.683420,13.765110,12.743859,13.526099
13.635004,14.269918,13.683011,13.526099
14.090471,14.253434,13.683011,14.286402
14.075996,14.282281,14.406601,14.286402
14.101309,15.306319,14.406601,14.939561
14.940484,17.418270,14.970584,14.766484
16.276609,16.915524,14.827102,14.766484
16.006592,16.639423,14.827102,14.294643
15.845880,13.855770,14.414081,14.294643
13.718589,11.430632,14.414081,13.938188
11.310092,10.519918,14.082912,13.938188
10.384121,9.804945,14.082912,13.938188
9.683342,8.218407,14.082912,14.395605
8.263722,7.101648,14.505019,14.395605
7.364838,6.118819,14.505019,14.395605
6.568372,5.605769,14.505019,14.006182
6.111986,5.554258,14.147231,14.006182
6.063532,5.789148,14.147231,14.006182
6.280222,6.673077,14.147231,12.922390
7.024362,10.445742,13.073282,12.922390
10.310045,15.920330,13.073282,12.922390
15.384387,16.711540,13.073282,12.153847
15.888725,15.710165,12.277927,12.153847
15.237614,13.995879,12.277927,12.153847
13.846268,14.510989,12.277927,11.490385
14.298903,14.453298,11.594407,11.490385
14.249586,14.486264,11.594407,11.000000
14.277811,15.044643,11.099125,11.000000
14.737489,15.615385,11.099125,10.058379
15.169659,17.206043,10.179312,10.058379
16.166122,17.824177,10.179312,10.789835
16.474209,16.429260,10.890233,10.789835
15.717474,14.311127,10.890233,9.469093
14.126534,12.026099,9.621765,9.469093
11.921562,11.255495,9.621765,7.491072
11.130402,11.245193,7.766018,7.491072
11.119844,8.793269,7.766018,6.306319
8.754848,7.262362,6.602386,6.306319
